,date,open,close,high,low,volume,code
74,2010-04-26,-10.874,-12.43,-10.439,-12.452,107036.13,600519
75,2010-04-27,-12.46,-15.42,-12.46,-15.608,58234.48,600519
76,2010-04-28,-16.134,-16.036,-15.082,-16.885,26287.43,600519
77,2010-04-29,-15.713,-14.443,-13.684,-15.713,34501.2,600519
78,2010-04-30,-16.562,-18.365,-16.562,-19.327,85566.7,600519
79,2010-05-04,-19.146,-18.658,-17.967,-19.973,23975.16,600519
80,2010-05-05,-19.289,-17.043,-16.705,-19.665,33838.78,600519
81,2010-05-06,-16.885,-19.627,-16.885,-19.665,28240.34,600519
82,2010-05-07,-20.641,-17.629,-17.358,-21.017,31254.76,600519
83,2010-05-10,-16.134,-14.977,-13.128,-16.134,66192.58,600519
84,2010-05-11,-13.436,-14.886,-13.128,-15.51,33632.41,600519
85,2010-05-12,-15.164,-15.247,-14.631,-17.636,21643.19,600519
86,2010-05-13,-15.209,-13.977,-13.354,-15.209,27049.54,600519
87,2010-05-14,-13.97,-13.917,-13.046,-14.631,18126.16,600519
88,2010-05-17,-14.105,-17.786,-14.105,-17.937,17643.59,600519
89,2010-05-18,-17.636,-17.554,-16.907,-20.506,26037.47,600519
90,2010-05-19,-17.261,-17.764,-16.735,-19.124,10798.97,600519
91,2010-05-20,-18.049,-16.524,-15.134,-18.38,22740.45,600519
92,2010-05-21,-18.087,-14.473,-14.18,-18.786,27341.38,600519
93,2010-05-24,-13.887,-13.151,-12.753,-14.406,29783.47,600519
94,2010-05-25,-13.429,-16.697,-13.429,-17.073,22050.77,600519
95,2010-05-26,-16.509,-16.179,-15.638,-17.516,11025.31,600519
96,2010-05-31,-15.007,-16.224,-13.714,-16.224,23549.88,600519
97,2010-06-01,-16.321,-15.66,-15.037,-17.261,23525.57,600519
98,2010-06-02,-15.713,-14.511,-14.33,-16.397,21889.44,600519
99,2010-06-03,-13.887,-13.857,-12.753,-15.082,24949.42,600519
100,2010-06-04,-13.932,-11.536,-11.325,-14.473,30036.43,600519
101,2010-06-07,-12.377,-9.327,-8.418,-13.128,38125.07,600519
102,2010-06-08,-9.327,-10.033,-8.711,-10.874,14394.78,600519
103,2010-06-09,-9.958,-9.056,-8.17,-10.063,18053.93,600519
104,2010-06-10,-9.071,-9.109,-8.17,-9.725,11781.27,600519
105,2010-06-11,-8.944,-11.092,-8.245,-11.205,19572.75,600519
106,2010-06-17,-10.724,-12.768,-10.506,-12.895,12523.71,600519
107,2010-06-18,-13.121,-15.938,-12.527,-16.877,20102.29,600519
108,2010-06-21,-15.833,-14.3,-14.255,-16.735,18954.01,600519
109,2010-06-22,-15.187,-15.991,-14.676,-16.584,20779.1,600519
110,2010-06-23,-16.134,-16.359,-15.472,-16.569,12812.76,600519
111,2010-06-24,-16.201,-17.659,-15.78,-17.877,24344.03,600519
112,2010-06-25,-17.786,-17.246,-16.885,-18.515,19011.35,600519
113,2010-06-28,-17.486,-19.131,-17.471,-19.282,14816.98,600519
114,2010-06-29,-18.756,-20.439,-18.095,-21.01,27782.66,600519
115,2010-06-30,-20.641,-19.62,-19.515,-20.904,17824.12,600519
116,2010-07-01,-19.252,-19.875,-19.252,-20.266,7449.69,600519
117,2010-07-02,-20.228,-19.379,-18.312,-20.228,16452.7,600519
118,2010-07-05,-19.376,-19.894,-19.15,-20.833,14040.74,600519
119,2010-07-06,-19.827,-18.549,-18.129,-20.503,15306.43,600519
120,2010-07-07,-18.549,-18.76,-17.873,-19.376,8788.28,600519
121,2010-07-08,-18.918,-18.008,-17.873,-18.918,8516.41,600519
122,2010-07-09,-17.813,-15.95,-15.093,-18.467,27378.51,600519
123,2010-07-12,-16.145,-16.213,-14.267,-16.333,17834.0,600519
124,2010-07-13,-16.19,-17.084,-16.19,-17.866,7439.11,600519
125,2010-07-14,-17.197,-16.566,-15.875,-17.475,9642.66,600519
126,2010-07-15,-16.371,-15.371,-14.342,-16.483,18833.33,600519
127,2010-07-16,-16.07,-13.884,-13.486,-16.31,32949.51,600519
128,2010-07-19,-14.455,-12.389,-12.088,-14.56,19412.32,600519
129,2010-07-20,-12.253,-11.855,-11.269,-13.23,26886.19,600519
130,2010-07-21,-11.855,-10.826,-8.933,-11.855,24363.02,600519
131,2010-07-22,-10.135,-10.766,-10.135,-11.637,16221.66,600519
132,2010-07-23,-10.6,-8.7,-8.467,-10.6,38466.0,600519
133,2010-07-26,-8.7,-8.512,-7.144,-9.045,22016.91,600519
134,2010-07-27,-9.158,-7.73,-7.595,-9.158,25229.04,600519
135,2010-07-28,-7.28,-7.024,-6.957,-8.106,27740.35,600519
136,2010-07-29,-7.032,-9.669,-6.904,-9.864,45372.87,600519
137,2010-07-30,-9.774,-10.232,-9.774,-11.111,29438.77,600519
138,2010-08-02,-10.262,-6.566,-5.281,-10.262,42965.73,600519
